Date,Open,High,Low,Close,Adj Close,Volume
7/26/2021,45.630001,46.330002,45.470001,46.060001,43.797245,203800
7/27/2021,45.5,45.889999,45.09,45.84,43.588051,207300
7/28/2021,46.209999,47.029999,46.02,46.98,44.672047,104600
7/29/2021,46.5,46.5,45.970001,46.18,43.91135,163600
7/30/2021,46.18,46.18,45.650002,45.720001,43.473949,97800
8/2/2021,46.509998,46.779999,45.75,46.099998,43.835278,160600
8/3/2021,46.130001,46.48,45.66,46.400002,44.120544,125400
8/4/2021,46.18,46.18,45.650002,45.75,43.502472,154400
8/5/2021,46.200001,46.330002,45.950001,46.09,43.825771,152900
8/6/2021,46,46.099998,45.66,45.950001,43.69265,117900
8/9/2021,46.18,46.610001,45.91,46.450001,44.168087,133200
8/10/2021,46.299999,46.439999,45.950001,46.02,43.759209,681400
8/11/2021,46.439999,46.830002,46.439999,46.810001,44.510399,376900
8/12/2021,47.040001,47.16,46.619999,46.959999,44.65303,132000
8/13/2021,46.48,46.66,46.150002,46.200001,43.930367,65600
8/16/2021,46.740002,46.77,46.189999,46.66,44.367767,119000
8/17/2021,46.099998,46.349998,45.599998,45.790001,43.540508,152300
8/18/2021,46.400002,46.669998,45.98,45.98,43.721172,160800
8/19/2021,45.009998,45.150002,44.509998,44.849998,42.646687,227800
8/20/2021,44.099998,44.709999,44.099998,44.48,42.294865,126800
8/23/2021,45.189999,46.02,45.189999,45.919998,43.66412,119500
8/24/2021,45.799999,46.029999,45.380001,45.75,43.502472,169200
8/25/2021,45.66,46,45.509998,45.889999,43.635593,68600
8/26/2021,44.900002,45.18,44.709999,44.82,42.61816,111300
8/27/2021,45.02,45.580002,45.02,45.380001,43.15065,80700
8/30/2021,47.310001,47.689999,46.82,47.25,44.928783,169400
8/31/2021,47.799999,48.130001,47.77,47.990002,45.632431,183800
9/1/2021,48.080002,48.240002,47.860001,48.060001,45.698994,153000
9/2/2021,48.549999,49.049999,48.509998,48.759998,46.364601,187200
9/3/2021,50,50.220001,49.650002,49.869999,47.420071,165900
9/7/2021,50.400002,50.82,50.25,50.459999,47.981087,185300
9/8/2021,50.610001,50.799999,50.200001,50.360001,47.886002,242000
9/9/2021,48.400002,48.610001,47.950001,48,48,222500
9/10/2021,48.939999,49.360001,48.610001,48.709999,48.709999,186200
9/13/2021,49.93,50.689999,49.810001,50.490002,50.490002,176000
9/14/2021,50.150002,50.279999,49.619999,49.860001,49.860001,228200
9/15/2021,49.82,50.700001,49.790001,50.560001,50.560001,157600
9/16/2021,50.299999,50.299999,49.5,49.790001,49.790001,126500
9/17/2021,49.549999,49.84,49.07,49.310001,49.310001,181100
9/20/2021,47.669998,48.59,47.669998,48.330002,48.330002,193500
9/21/2021,48.990002,49.27,48.73,49.110001,49.110001,100200
9/22/2021,49.740002,50.34,49.740002,49.919998,49.919998,140000
9/23/2021,50.060001,50.450001,50.060001,50.43,50.43,154200
9/24/2021,49.290001,49.639999,49.23,49.32,49.32,112800
9/27/2021,49.709999,50.419998,49.57,50.18,50.18,143600
9/28/2021,50.75,50.860001,50.110001,50.139999,50.139999,175000
9/29/2021,50,50,49.369999,49.5,49.5,132200
9/30/2021,49.48,49.73,49.119999,49.169998,49.169998,158700
10/1/2021,49.299999,49.580002,48.889999,49.299999,49.299999,63400
10/4/2021,49.5,49.849998,49.419998,49.490002,49.490002,106300
10/5/2021,50.619999,50.75,50.029999,50.560001,50.560001,149300
10/6/2021,51.400002,51.869999,51.18,51.75,51.75,161700
10/7/2021,52.099998,52.689999,52.060001,52.52,52.52,154200
10/8/2021,51.75,52.48,51.540001,52.049999,52.049999,145600
10/11/2021,52.25,52.52,51.630001,51.639999,51.639999,147900
10/12/2021,51.810001,51.810001,51.080002,51.119999,51.119999,107300
10/13/2021,51.080002,51.400002,50.77,51.259998,51.259998,106500
10/14/2021,51.48,51.740002,51.209999,51.470001,51.470001,86200
10/15/2021,51.509998,51.700001,51.209999,51.57,51.57,127200
10/18/2021,51.700001,52.169998,51.630001,51.689999,51.689999,86600
10/19/2021,51.779999,52.16,51.540001,51.98,51.98,75100
10/20/2021,51.16,51.34,50.77,51.169998,51.169998,109500
10/21/2021,50.77,50.77,50.02,50.27,50.27,139200
10/22/2021,50.23,50.25,49.330002,49.560001,49.560001,105700
10/25/2021,50.200001,50.299999,49.709999,50.029999,50.029999,107000
10/26/2021,50.169998,50.169998,49.779999,50.02,50.02,93300
10/27/2021,49.080002,49.110001,48.209999,48.279999,48.279999,109600
10/28/2021,48.5,48.77,48.330002,48.68,48.68,74000
10/29/2021,48.700001,48.880001,48.43,48.68,48.68,148200
11/1/2021,48.849998,49.619999,48.849998,49.57,49.57,65500
11/2/2021,48.849998,48.880001,48.25,48.330002,48.330002,85600
11/3/2021,48.259998,48.669998,48.139999,48.259998,48.259998,104100
11/4/2021,48.84,49.330002,48.290001,48.560001,48.560001,102200
11/5/2021,48.25,48.41,48.049999,48.259998,48.259998,101200
11/8/2021,48.48,49.07,48.43,48.860001,48.860001,94400
11/9/2021,48.57,49,48.27,49,49,73200
11/10/2021,48.880001,48.959999,48.330002,48.509998,48.509998,76900
11/11/2021,48.939999,49.43,48.939999,49.34,49.34,48300
11/12/2021,48.810001,49,48.509998,48.689999,48.689999,64100
11/15/2021,48.540001,48.540001,48.02,48.23,48.23,172700
11/16/2021,48.790001,48.959999,48.41,48.709999,48.709999,68300
11/17/2021,48.400002,48.5,48.07,48.139999,48.139999,78700
11/18/2021,48,48.049999,47.400002,47.799999,47.799999,83200
